gCSD16_DEN_10	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
gCSD16_NYC_26	NA	NODE_12425_length_1008_cov_2.047219	2	844	-	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE	ERYTHROMYCIN	PARTIAL_CONTIG_ENDX	281	487	57.70	97.51	281	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
gCSD16_NYC_26	NA	NODE_1255_length_3618_cov_9.607634	796	2337	+	qacA	quaternary ammonium compound efflux MFS transporter QacA	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	BLASTX	514	514	100.00	99.81	514	WP_000622776.1	quaternary ammonium compound efflux MFS transporter QacA	NA	NA
gCSD16_NYC_26	NA	NODE_1310_length_3508_cov_16.165074	1408	2880	-	msr(E)	ABC-F type ribosomal protection protein Msr(E)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	491	491	100.00	100.00	491	WP_000052512.1	ABC-F type ribosomal protection protein Msr(E)	NA	NA
gCSD16_NYC_26	NA	NODE_1310_length_3508_cov_16.165074	468	1349	-	mph(E)	Mph(E) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	294	294	100.00	100.00	294	WP_000155092.1	Mph(E) family macrolide 2'-phosphotransferase	NA	NA
gCSD16_NYC_26	NA	NODE_1326_length_3456_cov_6.759777	1494	2957	-	msr(A)	ABC-F type ribosomal protection protein Msr(A)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTX	488	488	100.00	99.59	488	WP_000438874.1	ABC-F type ribosomal protection protein Msr(A)	NA	NA
gCSD16_NYC_26	NA	NODE_1326_length_3456_cov_6.759777	496	1392	-	mph(C)	Mph(C) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	299	299	100.00	100.00	299	WP_000196697.1	Mph(C) family macrolide 2'-phosphotransferase	NA	NA
gCSD16_NYC_26	NA	NODE_1403_length_3302_cov_5.454881	432	1997	+	vga(A)	ABC-F type ribosomal protection protein Vga(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	BLASTX	522	522	100.00	99.62	522	WP_002449123.1	ABC-F type ribosomal protection protein Vga(A)-LC	NA	NA
gCSD16_NYC_26	NA	NODE_1594_length_3022_cov_7.405460	2064	2795	+	erm(C)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	244	244	100.00	100.00	244	WP_001003264.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	NA	NA
gCSD16_NYC_26	NA	NODE_1698800_length_210_cov_1.729032	1	210	+	qacJ	quaternary ammonium compound efflux SMR transporter QacJ	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	70	107	65.42	95.71	70	WP_011100750.1	quaternary ammonium compound efflux SMR transporter QacJ	NA	NA
gCSD16_NYC_26	NA	NODE_17627_length_859_cov_10.264925	2	811	-	blaOXA	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	270	276	97.83	100.00	270	WP_005268230.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-285	NA	NA
gCSD16_NYC_26	NA	NODE_18394_length_843_cov_19.751269	57	842	+	blaOXA	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	262	273	94.87	96.95	262	WP_063862702.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-335	NA	NA
gCSD16_NYC_26	NA	NODE_190901_length_351_cov_2.939189	3	350	-	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	116	126	92.06	95.69	116	WP_001284656.1	penicillinase repressor BlaI	NA	NA
gCSD16_NYC_26	NA	NODE_19395_length_823_cov_3.997396	12	494	-	lnu(A)	lincosamide nucleotidyltransferase Lnu(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	EXACTX	161	161	100.00	100.00	161	WP_001829870.1	lincosamide nucleotidyltransferase Lnu(A)	NA	NA
gCSD16_NYC_26	NA	NODE_31058_length_671_cov_3.586039	3	647	+	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIAL_CONTIG_ENDX	215	267	80.52	100.00	215	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NA	NA
gCSD16_NYC_26	NA	NODE_32_length_45554_cov_11.528583	30593	31735	-	blaACT	ACT family cephalosporin-hydrolyzing class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTX	381	381	100.00	99.74	381	WP_032652275.1	cephalosporin-hydrolyzing class C beta-lactamase ACT-74	NA	NA
gCSD16_NYC_26	NA	NODE_3330_length_1914_cov_3.615385	150	962	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NA	NA
gCSD16_NYC_26	NA	NODE_34877_length_639_cov_1.736301	2	637	+	floR	chloramphenicol/florfenicol efflux MFS transporter FloR	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	PARTIAL_CONTIG_ENDX	212	404	52.48	100.00	212	WP_000214119.1	chloramphenicol/florfenicol efflux MFS transporter FloR	NA	NA
gCSD16_NYC_26	NA	NODE_355250_length_287_cov_1.241379	3	287	+	bleO	bleomycin binding protein	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	PARTIAL_CONTIG_ENDX	95	134	70.90	100.00	95	WP_001242578.1	bleomycin binding protein	NA	NA
gCSD16_NYC_26	NA	NODE_3607_length_1840_cov_4.077871	3	698	-	tet(K)	tetracycline efflux MFS transporter Tet(K)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIAL_CONTIG_ENDX	232	459	50.54	99.57	232	WP_000492283.1	tetracycline efflux MFS transporter Tet(K)	NA	NA
gCSD16_NYC_26	NA	NODE_48668_length_558_cov_27.815109	100	420	+	qacC	quaternary ammonium compound efflux SMR transporter QacC	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	EXACTX	107	107	100.00	100.00	107	WP_001146389.1	quaternary ammonium compound efflux SMR transporter QacC	NA	NA
gCSD16_NYC_26	NA	NODE_50392_length_551_cov_1.699597	131	550	-	aadA27	ANT(3'')-II family aminoglycoside nucleotidyltransferase AadA27	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	PARTIAL_CONTIG_ENDX	140	262	53.44	100.00	140	WP_050041693.1	ANT(3'')-II family aminoglycoside nucleotidyltransferase AadA27	NA	NA
gCSD16_NYC_26	NA	NODE_5040_length_1547_cov_3.302949	76	918	+	blaZ	penicillin-hydrolyzing class A beta-lactamase BlaZ	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	281	281	100.00	98.93	281	WP_000733274.1	penicillin-hydrolyzing class A beta-lactamase BlaZ	NA	NA
gCSD16_NYC_26	NA	NODE_51374_length_547_cov_1.333333	135	545	-	dfrG	trimethoprim-resistant dihydrofolate reductase DfrG	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	PARTIAL_CONTIG_ENDX	137	165	83.03	99.27	137	WP_000868795.1	trimethoprim-resistant dihydrofolate reductase DfrG	NA	NA
gCSD16_NYC_26	NA	NODE_558658_length_264_cov_1.540670	2	262	+	dfrA41	trimethoprim-resistant dihydrofolate reductase DfrA41	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	PARTIAL_CONTIG_ENDX	87	170	51.18	100.00	87	WP_004729503.1	trimethoprim-resistant dihydrofolate reductase DfrA41	NA	NA
gCSD16_NYC_26	NA	NODE_5639_length_1461_cov_2.713371	510	1361	-	erm(X)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTX	284	284	100.00	97.54	284	WP_011117480.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	NA	NA
gCSD16_NYC_26	NA	NODE_60184_length_514_cov_2.213508	72	512	+	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIAL_CONTIG_ENDX	147	262	56.11	100.00	147	WP_001206315.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	NA	NA
gCSD16_NYC_26	NA	NODE_67877_length_492_cov_2.354691	42	491	+	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	PARTIAL_CONTIG_ENDX	150	262	57.25	99.33	150	WP_001112624.1	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	NA	NA
gCSD16_NYC_26	NA	NODE_691129_length_255_cov_2.460000	6	254	-	fosB	FosB family fosfomycin resistance bacillithiol transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	PARTIAL_CONTIG_ENDX	83	142	58.45	96.39	83	WP_002467687.1	FosB family fosfomycin resistance bacillithiol transferase	NA	NA
gCSD16_NYC_26	NA	NODE_696_length_5943_cov_13.545007	229	756	+	dfrA44	trimethoprim-resistant dihydrofolate reductase DfrA44	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	BLASTX	176	176	100.00	99.43	176	WP_204376220.1	trimethoprim-resistant dihydrofolate reductase DfrA44	NA	NA
gCSD16_NYC_26	NA	NODE_8532_length_1201_cov_3.543630	55	1200	+	blaR1	beta-lactam sensor/signal transducer BlaR1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	382	585	65.30	98.95	382	WP_001096392.1	beta-lactam sensor/signal transducer BlaR1	NA	NA
gCSD16_NYC_26	NA	NODE_89515_length_447_cov_1.127551	120	446	+	qacE	quaternary ammonium compound efflux SMR transporter QacE	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	BLASTX	109	110	99.09	100.00	109	WP_010890145.1	quaternary ammonium compound efflux SMR transporter QacE	NA	NA
gCSD16_NYC_26	NA	NODE_8_length_102989_cov_7.606826	10163	11335	-	oqxA	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTX	391	391	100.00	92.58	391	WP_002914189.1	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	NA	NA
gCSD16_NYC_26	NA	NODE_8_length_102989_cov_7.606826	6987	10136	-	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTX	1050	1050	100.00	96.86	1050	WP_012967412.1	multidrug efflux RND transporter permease subunit OqxB9	NA	NA
gCSD16_NYC_3	NA	NODE_10603_length_899_cov_2.218009	2	898	+	msr(A)	ABC-F type ribosomal protection protein Msr(A)	core	AMR	AMR	MACROLIDE	MACROLIDE	PARTIAL_CONTIG_ENDX	299	488	61.27	100.00	299	WP_000438874.1	ABC-F type ribosomal protection protein Msr(A)	NA	NA
gCSD16_NYC_3	NA	NODE_10981_length_869_cov_3.889435	491	811	+	qacC	quaternary ammonium compound efflux SMR transporter QacC	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	EXACTX	107	107	100.00	100.00	107	WP_001146389.1	quaternary ammonium compound efflux SMR transporter QacC	NA	NA
gCSD16_NYC_3	NA	NODE_11898_length_814_cov_2.640316	3	758	+	blaZ	penicillin-hydrolyzing class A beta-lactamase BlaZ	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	252	281	89.68	98.81	252	WP_000733285.1	penicillin-hydrolyzing class A beta-lactamase BlaZ	NA	NA
gCSD16_NYC_3	NA	NODE_16359_length_634_cov_2.112263	2	334	+	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	111	126	88.10	99.10	111	WP_001284656.1	penicillinase repressor BlaI	NA	NA
gCSD16_NYC_3	NA	NODE_195355_length_262_cov_0.927536	3	260	-	bleO	bleomycin binding protein	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	PARTIAL_CONTIG_ENDX	86	134	64.18	100.00	86	WP_001242578.1	bleomycin binding protein	NA	NA
gCSD16_NYC_3	NA	NODE_19606_length_564_cov_2.003929	198	563	-	fosB	FosB family fosfomycin resistance bacillithiol transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	PARTIAL_CONTIG_ENDX	122	142	85.92	96.72	122	WP_002467687.1	FosB family fosfomycin resistance bacillithiol transferase	NA	NA
gCSD16_NYC_3	NA	NODE_2129_length_3403_cov_5.966249	742	2283	+	qacB	quaternary ammonium compound efflux MFS transporter QacB	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	BLASTX	514	514	100.00	99.61	514	WP_000622778.1	quaternary ammonium compound efflux MFS transporter QacB	NA	NA
gCSD16_NYC_3	NA	NODE_22947_length_515_cov_4.089130	1	513	+	erm(X)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	core	AMR	AMR	MACROLIDE	MACROLIDE	PARTIAL_CONTIG_ENDX	171	284	60.21	97.66	171	WP_063844894.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	NA	NA
gCSD16_NYC_3	NA	NODE_261867_length_249_cov_2.577320	2	247	+	lnu(A)	lincosamide nucleotidyltransferase Lnu(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	PARTIAL_CONTIG_ENDX	82	161	50.93	100.00	82	WP_011428879.1	lincosamide nucleotidyltransferase Lnu(A)'	NA	NA
gCSD16_NYC_3	NA	NODE_344856_length_237_cov_1.054945	2	208	+	qacL	quaternary ammonium compound efflux SMR transporter QacL	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	69	110	62.73	98.55	69	WP_015060824.1	quaternary ammonium compound efflux SMR transporter QacL	NA	NA
gCSD16_NYC_3	NA	NODE_4308_length_2065_cov_4.122388	1320	2051	-	erm(C)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	244	244	100.00	100.00	244	WP_001003260.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	NA	NA
gCSD16_NYC_3	NA	NODE_4820_length_1872_cov_2.682444	315	1127	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NA	NA
gCSD16_NYC_3	NA	NODE_49596_length_374_cov_2.238245	1	270	+	lnu(A)	lincosamide nucleotidyltransferase Lnu(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	PARTIAL_CONTIG_ENDX	90	161	55.90	100.00	90	WP_001829870.1	lincosamide nucleotidyltransferase Lnu(A)	NA	NA
gCSD16_NYC_3	NA	NODE_6816_length_1363_cov_3.412844	256	1362	+	vga(A)	ABC-F type ribosomal protection protein Vga(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	PARTIAL_CONTIG_ENDX	369	522	70.69	98.64	369	WP_002449123.1	ABC-F type ribosomal protection protein Vga(A)-LC	NA	NA
gCSD16_NYC_3	NA	NODE_7449_length_1249_cov_3.814908	2	880	+	mph(C)	Mph(C) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTX	293	299	97.99	99.32	293	WP_000196697.1	Mph(C) family macrolide 2'-phosphotransferase	NA	NA
gCSD16_NYC_3	NA	NODE_78_length_17386_cov_8.035428	2545	3054	-	dfrA40	trimethoprim-resistant dihydrofolate reductase DfrA40	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	BLASTX	170	170	100.00	97.65	170	WP_034702334.1	trimethoprim-resistant dihydrofolate reductase DfrA40	NA	NA
gCSD16_NYC_3	NA	NODE_8672_length_1069_cov_1.890533	194	1069	-	tet(K)	tetracycline efflux MFS transporter Tet(K)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIAL_CONTIG_ENDX	292	459	63.62	99.66	292	WP_000492283.1	tetracycline efflux MFS transporter Tet(K)	NA	NA
gCSD16_NYC_4	NA	NODE_10953_length_645_cov_3.216949	42	362	-	qacC	quaternary ammonium compound efflux SMR transporter QacC	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	EXACTX	107	107	100.00	100.00	107	WP_001146389.1	quaternary ammonium compound efflux SMR transporter QacC	NA	NA
gCSD16_NYC_4	NA	NODE_1198_length_1591_cov_2.252604	3	488	-	erm(C)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	core	AMR	AMR	MACROLIDE	MACROLIDE	PARTIAL_CONTIG_ENDX	162	244	66.39	100.00	162	WP_001003263.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	NA	NA
gCSD16_NYC_4	NA	NODE_1584_length_1365_cov_3.550382	440	1333	+	blaRTG	RTG family carbenicillin-hydrolyzing class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	298	298	100.00	99.66	298	WP_015589625.1	RTG family carbenicillin-hydrolyzing class A beta-lactamase CARB-16	NA	NA
gCSD16_NYC_4	NA	NODE_22367_length_522_cov_1.569593	1	228	-	qacE	quaternary ammonium compound efflux SMR transporter QacE	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	76	115	66.09	100.00	76	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NA	NA
gCSD16_NYC_4	NA	NODE_239_length_7792_cov_34.874370	843	1673	+	blaOXA	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	277	277	100.00	99.64	277	WP_168370988.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-915	NA	NA
gCSD16_NYC_4	NA	NODE_306_length_6022_cov_8.352438	1548	2732	+	tet(39)	tetracycline efflux MFS transporter Tet(39)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	395	395	100.00	99.75	395	WP_004856455.1	tetracycline efflux MFS transporter Tet(39)	NA	NA
gCSD16_NYC_4	NA	NODE_399498_length_264_cov_1.794258	49	264	-	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	72	126	57.14	100.00	72	WP_001284656.1	penicillinase repressor BlaI	NA	NA
gCSD16_NYC_4	NA	NODE_424_length_4082_cov_11.742488	1308	2147	-	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	BLASTX	280	278	100.00	98.93	280	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id	NA	NA
gCSD16_NYC_4	NA	NODE_424_length_4082_cov_11.742488	2150	2950	-	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	267	267	100.00	100.00	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NA	NA
gCSD16_NYC_4	NA	NODE_424_length_4082_cov_11.742488	3133	3945	-	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NA	NA
gCSD16_NYC_4	NA	NODE_499626_length_256_cov_0.955224	1	255	-	fosB	FosB family fosfomycin resistance bacillithiol transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	PARTIAL_CONTIG_ENDX	85	142	59.86	97.65	85	WP_002467687.1	FosB family fosfomycin resistance bacillithiol transferase	NA	NA
gCSD16_NYC_4	NA	NODE_52405_length_419_cov_1.516484	1	417	+	erm(C)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	core	AMR	AMR	MACROLIDE	MACROLIDE	PARTIAL_CONTIG_ENDX	139	244	56.97	99.28	139	WP_011382144.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	NA	NA
gCSD16_NYC_4	NA	NODE_524_length_3087_cov_17.746042	1164	2636	-	msr(E)	ABC-F type ribosomal protection protein Msr(E)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	491	491	100.00	100.00	491	WP_000052512.1	ABC-F type ribosomal protection protein Msr(E)	NA	NA
gCSD16_NYC_4	NA	NODE_524_length_3087_cov_17.746042	224	1105	-	mph(E)	Mph(E) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	294	294	100.00	100.00	294	WP_000155092.1	Mph(E) family macrolide 2'-phosphotransferase	NA	NA
gCSD16_NYC_4	NA	NODE_6074_length_789_cov_1.653951	2	787	+	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE	ERYTHROMYCIN	PARTIAL_CONTIG_ENDX	262	487	53.80	97.33	262	WP_000420317.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
gCSD16_NYC_4	NA	NODE_7169_length_742_cov_3.068413	2	469	-	dfrA40	trimethoprim-resistant dihydrofolate reductase DfrA40	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	BLASTX	156	170	91.76	97.44	156	WP_034702334.1	trimethoprim-resistant dihydrofolate reductase DfrA40	NA	NA
gCSD16_NYC_4	NA	NODE_982_length_1795_cov_3.409770	1	1371	+	qacA	quaternary ammonium compound efflux MFS transporter QacA	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	INTERNAL_STOP	457	514	88.91	99.34	457	WP_000622776.1	quaternary ammonium compound efflux MFS transporter QacA	NA	NA
gCSD16_NYC_5	NA	NODE_10536_length_829_cov_3.374677	107	589	-	lnu(A)	lincosamide nucleotidyltransferase Lnu(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	EXACTX	161	161	100.00	100.00	161	WP_001829870.1	lincosamide nucleotidyltransferase Lnu(A)	NA	NA
gCSD16_NYC_5	NA	NODE_1081_length_2037_cov_5.857215	298	1863	+	vga(A)	ABC-F type ribosomal protection protein Vga(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	BLASTX	522	522	100.00	99.23	522	WP_002449123.1	ABC-F type ribosomal protection protein Vga(A)-LC	NA	NA
gCSD16_NYC_5	NA	NODE_111674_length_394_cov_1.876106	77	394	+	qacG	quaternary ammonium compound efflux SMR transporter QacG	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	BLASTX	106	107	99.07	100.00	106	WP_015740450.1	quaternary ammonium compound efflux SMR transporter QacG	NA	NA
gCSD16_NYC_5	NA	NODE_1158_length_1967_cov_8.696130	472	1935	+	msr(A)	ABC-F type ribosomal protection protein Msr(A)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTX	488	488	100.00	99.80	488	WP_000438874.1	ABC-F type ribosomal protection protein Msr(A)	NA	NA
gCSD16_NYC_5	NA	NODE_11793_length_796_cov_2.310391	194	796	-	cmx	chloramphenicol efflux MFS transporter Cmx	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	PARTIAL_CONTIG_ENDX	201	391	51.41	100.00	201	WP_005297378.1	chloramphenicol efflux MFS transporter Cmx	NA	NA
gCSD16_NYC_5	NA	NODE_1234_length_1912_cov_6.731287	892	1788	-	mph(C)	Mph(C) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	299	299	100.00	100.00	299	WP_000196697.1	Mph(C) family macrolide 2'-phosphotransferase	NA	NA
gCSD16_NYC_5	NA	NODE_13529_length_757_cov_2.877493	1	669	-	blaL1	L1 family subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	PARTIAL_CONTIG_ENDX	223	289	77.16	99.55	223	WP_063842695.1	L1 family subclass B3 metallo-beta-lactamase	NA	NA
gCSD16_NYC_5	NA	NODE_14097_length_746_cov_2.623734	3	425	+	fosB	FosB family fosfomycin resistance bacillithiol transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTX	141	142	99.30	98.58	141	WP_002437790.1	FosB family fosfomycin resistance bacillithiol transferase	NA	NA
gCSD16_NYC_5	NA	NODE_157_length_5931_cov_8.572839	1497	2711	+	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	ERYTHROMYCIN	EXACTX	405	405	100.00	100.00	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
gCSD16_NYC_5	NA	NODE_157_length_5931_cov_8.572839	2834	4294	+	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE	ERYTHROMYCIN	EXACTX	487	487	100.00	100.00	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
gCSD16_NYC_5	NA	NODE_162_length_5861_cov_6.747158	1699	3615	-	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	99.84	639	WP_000691736.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
gCSD16_NYC_5	NA	NODE_185521_length_347_cov_1.030822	1	345	+	dfrA15	trimethoprim-resistant dihydrofolate reductase DfrA15	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	PARTIAL_CONTIG_ENDX	115	157	73.25	100.00	115	WP_001830196.1	trimethoprim-resistant dihydrofolate reductase DfrA15	NA	NA
gCSD16_NYC_5	NA	NODE_2310_length_1469_cov_6.156294	816	1469	-	blaZ	penicillin-hydrolyzing class A beta-lactamase BlaZ	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	218	281	77.58	99.08	218	WP_000733274.1	penicillin-hydrolyzing class A beta-lactamase BlaZ	NA	NA
gCSD16_NYC_5	NA	NODE_26134_length_603_cov_3.074818	1	534	-	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIAL_CONTIG_ENDX	178	267	66.67	100.00	178	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NA	NA
gCSD16_NYC_5	NA	NODE_3243_length_1285_cov_7.395935	278	655	-	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	126	126	100.00	99.21	126	WP_001284656.1	penicillinase repressor BlaI	NA	NA
